streams,libsndfile1, 137396,9,9/14.0
streams,libxfixes3, 11130,15,5/14.0
streams,python, 137338,14,3/14.0
streams,libssl-dev, 1347070,1,1/14.0
streams,openjdk-7-jre-headless, 39747944,18,9/14.0
streams,node-slide, 6118,1,1/14.0
streams,libplexus-ant-factory-java, 11230,3,3/14.0
streams,node-fstream-ignore, 5586,1,1/14.0
streams,libjsoup-java, 298002,6,3/14.0
streams,libpam0g, 58110,48,12/14.0
streams,libxt6, 160320,15,5/14.0
streams,libkrb5-26-heimdal, 201416,28,9/14.0
streams,dmsetup, 40102,1,1/14.0
streams,libv8-3.14.5, 1189430,2,1/14.0
streams,libfontconfig1, 126516,47,9/14.0
streams,libglib2.0-0, 1107914,68,9/14.0
streams,ttf-bitstream-vera, 351754,9,9/14.0
streams,libxerces2-java, 1362252,3,3/14.0
streams,adduser, 161698,6,3/14.0
streams,libwagon2-java, 2023266,3,3/14.0
streams,libxalan2-java, 3166282,3,3/14.0
streams,linux-libc-dev, 810804,3,3/14.0
streams,node-once, 2608,2,1/14.0
streams,libxaw7, 173220,5,5/14.0
streams,libjdom1-java, 150448,3,3/14.0
streams,libgdk-pixbuf2.0-0, 157736,8,5/14.0
streams,liblog4j1.2-java, 425200,3,3/14.0
streams,libmaven-parent-java, 5786,3,3/14.0
streams,libasan2, 268774,1,1/14.0
streams,libcommons-parent-java, 6968,3,3/14.0
streams,libcglib3-java, 725534,6,3/14.0
streams,liblcms2-2, 136966,12,9/14.0
streams,node-read, 4314,1,1/14.0
streams,libdrm-intel1, 55252,5,5/14.0
streams,install-info, 51232,17,11/14.0
streams,libpcre3, 220412,68,14/14.0
streams,libplexus-containers-java, 187156,15,3/14.0
streams,openjdk-6-jre-lib, 5999540,3,3/14.0
streams,libbz2-1.0, 30834,49,14/14.0
streams,libpython-stdlib, 7754,7,3/14.0
streams,libclassworlds-java, 39336,6,3/14.0
streams,openssl, 513306,11,9/14.0
streams,fontconfig-config, 48712,14,9/14.0
streams,libgl1,,8,5/14.0
streams,libxmu6, 45996,10,5/14.0
streams,libthai-data, 130744,5,5/14.0
streams,libnss3, 1132950,36,9/14.0
streams,python-distlib, 112180,2,2/14.0
streams,libjackrabbit-java, 290070,3,3/14.0
streams,libpng12-0, 118660,24,9/14.0
streams,libffi6, 17754,51,11/14.0
streams,libasm3-java, 669092,3,3/14.0
streams,libcairo2, 553056,10,5/14.0
streams,node-abbrev, 3592,2,1/14.0
streams,default-jre-headless, 4086,12,3/14.0
streams,libgmp10, 240360,67,12/14.0
streams,gyp, 200956,1,1/14.0
streams,libheimntlm0-heimdal, 15120,14,9/14.0
streams,dpkg, 2084160,30,12/14.0
streams,libcurl3-gnutls, 182778,11,9/14.0
streams,libplexus-io-java, 44696,3,3/14.0
streams,libgraphite2-3, 54622,5,5/14.0
streams,libapparmor1, 29784,1,1/14.0
streams,openjdk-6-jre, 192186,2,2/14.0
streams,liblsan0, 109704,1,1/14.0
streams,libplexus-utils-java, 209550,39,3/14.0
streams,libxcb-render0, 11638,5,5/14.0
streams,libpangoft2-1.0-0, 33446,10,5/14.0
streams,python-chardet, 96170,2,2/14.0
streams,node-archy, 3660,1,1/14.0
streams,libfreetype6, 311988,69,9/14.0
streams,openssh-sftp-server, 38318,2,2/14.0
streams,libaprutil1, 78260,6,3/14.0
streams,node-sigmund, 3818,1,1/14.0
streams,libpython2.7, 1063900,7,5/14.0
streams,libicu55, 7652486,5,5/14.0
streams,libasn1-8-heimdal, 174838,56,9/14.0
streams,python-colorama, 21398,2,2/14.0
streams,node-ini, 4770,1,1/14.0
streams,libxcb-shape0, 5956,5,5/14.0
streams,libobjenesis-java, 34844,3,3/14.0
streams,libatk1.0-data, 16858,5,5/14.0
streams,libhx509-5-heimdal, 107246,14,9/14.0
streams,passwd, 764542,27,12/14.0
streams,libc6-dev, 1966552,3,3/14.0
streams,bsh, 4402,3,3/14.0
streams,gsfonts-x11, 9108,9,9/14.0
streams,libustr-1.0-1, 68404,22,12/14.0
streams,libpcsclite1, 21384,12,9/14.0
streams,vim-runtime, 4983584,3,3/14.0
streams,libxxf86vm1, 10562,10,5/14.0
streams,java7-runtime,,3,3/14.0
streams,libgif4, 28554,5,5/14.0
streams,libexpat1-dev, 115170,4,2/14.0
streams,node-json-stringify-safe, 3544,1,1/14.0
streams,libuuid1, 15008,22,12/14.0
streams,debianutils, 85010,25,12/14.0
streams,libtextwrap1, 10132,2,2/14.0
streams,libxrender1, 18482,35,5/14.0
streams,libglapi-mesa, 23388,5,5/14.0
streams,libllvm3.6v5, 8083136,5,5/14.0
streams,libssl1.0.0, 1091442,43,13/14.0
streams,liberror-perl, 21062,4,4/14.0
streams,libnetbeans-cvsclient-java, 348516,3,3/14.0
streams,fontconfig, 175888,5,5/14.0
streams,sysv-rc, 36056,3,3/14.0
streams,libgssapi-krb5-2, 119442,30,12/14.0
streams,libkeyutils1, 9636,28,12/14.0
streams,libv8-3.14-dev, 57636,1,1/14.0
streams,node-ansi, 8590,3,1/14.0
streams,libserf-1-1, 45482,3,3/14.0
streams,node-request, 14484,2,1/14.0
streams,libplexus-cli-java, 9700,3,3/14.0
streams,libgdk-pixbuf2.0-common, 10086,5,5/14.0
streams,xfonts-utils, 75276,9,9/14.0
streams,libslf4j-java, 114268,21,3/14.0
streams,libhttpcore-java, 573472,6,3/14.0
streams,libasm4-java, 252270,6,3/14.0
streams,libncurses5, 96060,2,2/14.0
streams,libmpx0, 9822,1,1/14.0
streams,libmaven-scm-java, 893946,3,3/14.0
streams,util-linux, 778372,1,1/14.0
streams,node-cookie-jar, 3746,1,1/14.0
streams,libcommons-httpclient-java, 278464,9,3/14.0
streams,libcommons-logging-java, 59484,12,3/14.0
streams,python-requests, 53838,2,2/14.0
streams,libatspi2.0-0, 57934,5,5/14.0
streams,openjdk-7-jre, 173272,3,3/14.0
streams,libidn11, 92990,25,14/14.0
streams,gsfonts, 3373970,9,9/14.0
streams,libnspr4, 111864,27,9/14.0
streams,node-tunnel-agent, 4018,1,1/14.0
streams,gcc-5, 6707942,1,1/14.0
streams,nodejs-dev, 168506,1,1/14.0
streams,libjna-jni, 30308,3,3/14.0
streams,libguice-java, 596622,3,3/14.0
streams,libdb5.3, 669842,38,11/14.0
streams,libjs-node-uuid, 11074,1,1/14.0
streams,python-urllib3, 56210,2,2/14.0
streams,libattr1, 9756,43,14/14.0
streams,libqdox-java, 166806,3,3/14.0
streams,mime-support, 31596,17,6/14.0
streams,libdatrie1, 17234,5,5/14.0
streams,libjson-c2, 22332,9,9/14.0
streams,cpp-5, 5962050,2,1/14.0
streams,libsisu-guice-java, 614166,3,3/14.0
streams,node-normalize-package-data, 9286,1,1/14.0
streams,node-form-data, 6412,1,1/14.0
streams,zlib1g-dev, 167514,1,1/14.0
streams,libnspr4-0d, 6636,15,9/14.0
streams,node-async, 22216,1,1/14.0
streams,binutils, 2279400,1,1/14.0
streams,node-retry, 6172,1,1/14.0
streams,libdevmapper1.02.1, 121096,2,1/14.0
streams,node-fstream, 19496,4,1/14.0
streams,libhcrypto4-heimdal, 85866,56,9/14.0
streams,libck-connector0, 8784,2,2/14.0
streams,ucf, 55540,9,9/14.0
streams,node-inherits, 3060,6,1/14.0
streams,libjaxp1.3-java, 450366,3,3/14.0
streams,java7-runtime-headless,,3,3/14.0
streams,libplexus-interpolation-java, 61258,9,3/14.0
streams,libxdamage1, 6946,10,5/14.0
streams,libnewt0.52, 40842,2,2/14.0
streams,libbsh-java, 264220,3,3/14.0
streams,netbase, 12906,1,1/14.0
streams,libaudit-common, 4080,23,12/14.0
streams,node-mime, 11928,2,1/14.0
