analytics,libmono-corlib4.0-cil, 798720,3,3
analytics,libacl1, 16340,34,27
analytics,libboost-random1.58-dev, 10930,28,28
analytics,node-slide, 6118,5,5
analytics,libboost-atomic-dev, 3106,28,28
analytics,libjsoup-java, 298002,9,7
analytics,libpam0g, 58110,719,155
analytics,libblas3, 160660,268,58
analytics,gir1.2-gst-plugins-base-0.10, 99220,1,1
analytics,alex, 471660,1,1
analytics,libboost1.58-tools-dev, 1140798,28,28
analytics,liblqr-1-0, 23644,3,2
analytics,libltdl-dev, 157658,30,29
analytics,libavresample-dev, 61486,1,1
analytics,adduser, 161698,74,58
analytics,openmpi-common, 101148,57,28
analytics,libmemcached11, 83978,1,1
analytics,x11proto-xf86bigfont-dev, 4784,10,5
analytics,linux-libc-dev, 810804,550,158
analytics,libegl1-mesa-dev, 18226,4,2
analytics,libxfixes-dev, 10916,238,42
analytics,python-newt, 18686,1,1
analytics,libboost-thread-dev, 2822,30,30
analytics,libdmx-dev, 34380,5,5
analytics,libstdc++-5-dev, 1423386,1042,114
analytics,fonts-cabin, 140194,1,1
analytics,liblcms2-2, 136966,103,48
analytics,node-read, 4314,5,5
analytics,install-info, 51232,1116,238
analytics,libboost-python1.58.0, 121068,57,29
analytics,libopencv-core2.4v5, 676592,629,34
analytics,libotf0, 44222,6,2
analytics,libass5, 71174,6,5
analytics,libbz2-1.0, 30834,1982,271
analytics,libmono-system-numerics4.0-cil, 23512,8,3
analytics,lib32quadmath0, 203320,26,7
analytics,openssl, 513306,194,130
analytics,libmono-microsoft-build-utilities-v4.0-4.0-cil, 31046,15,3
analytics,libgl1,,272,72
analytics,fonts-crosextra-caladea, 82310,1,1
analytics,libjpeg-dev, 1546,71,38
analytics,libm17n-0, 240398,4,2
analytics,libffms2-4, 56864,1,1
analytics,libopencv-flann2.4v5, 107724,123,30
analytics,python-distlib, 112180,65,65
analytics,erlang-syntax-tools, 322154,8,2
analytics,libsdl2-2.0-0, 324102,2,2
analytics,gcc-mingw-w64-i686, 23620284,2,1
analytics,libopencv-calib3d-dev, 239200,210,30
analytics,gcc-arm-linux-gnueabi, 1174,1,1
analytics,libavdevice55,,9,9
analytics,libmono-relaxng4.0-cil, 79966,6,3
analytics,gyp, 200956,5,5
analytics,node-forever-agent, 3194,5,5
analytics,libheimntlm0-heimdal, 15120,358,222
analytics,libmono-system-reactive-runtime-remoting2.2-cil, 13962,3,3
analytics,libavcodec56,,36,9
analytics,python3-apt, 141530,61,29
analytics,nodejs-dev, 168506,5,5
analytics,libjsch-agent-proxy-java, 32922,2,2
analytics,gnupg, 623980,41,34
analytics,netcat-traditional, 60678,10,10
analytics,python-chardet, 96170,65,65
analytics,libv4lconvert0, 76508,37,31
analytics,libmono-system-drawing4.0-cil, 143430,60,4
analytics,node-archy, 3660,5,5
analytics,libmono-microsoft-build-tasks-v4.0-4.0-cil, 66878,4,3
analytics,libfreetype6, 311988,1371,118
analytics,libmono-microsoft-visualbasic10.0-cil, 91340,4,4
analytics,node-sigmund, 3818,5,5
analytics,libpython2.7, 1063900,195,69
analytics,x11proto-kb-dev, 224462,80,46
analytics,libmonoboehm-2.0-1, 1238730,3,3
analytics,node-ini, 4770,5,5
analytics,libemail-valid-perl, 16452,1,1
analytics,ubuntu-mono, 176072,2,2
analytics,libfltk1.3, 501172,6,2
analytics,libterm-readkey-perl, 28086,7,7
analytics,libtdb1, 37780,7,1
analytics,libmono-system-runtime-serialization4.0-cil, 117108,39,3
analytics,ncurses-bin, 138536,6,4
analytics,java-wrappers, 9456,1,1
analytics,automaken,,1,1
analytics,bsh, 4402,7,7
analytics,qdbus, 30078,5,5
analytics,python-sqlite, 20880,2,2
analytics,gsfonts-x11, 9108,174,111
analytics,libpcsclite1, 21384,68,40
analytics,lib32gfortran3, 250306,3,3
analytics,libmono-system-data-linq4.0-cil, 155762,21,3
analytics,python-apt-common, 18328,65,29
analytics,libghc-text-dev, 1040422,1,1
analytics,libsoup-gnome2.4-1, 5038,2,2
analytics,libcamd2.3.1, 21894,5,4
analytics,fonts-linuxlibertine, 1687598,1,1
analytics,libtexluajit2, 213382,6,2
analytics,fonts-junicode, 641846,1,1
analytics,libc6-i386, 2271928,113,7
analytics,libghc-transformers-dev,,1,1
analytics,mysql-common, 14678,32,14
analytics,libllvm3.6v5, 8083136,134,78
analytics,mingw-w64-x86-64-dev, 3165842,1,1
analytics,libnetbeans-cvsclient-java, 348516,2,2
analytics,libmono-sharpzip4.84-cil, 58382,6,3
analytics,libkeyutils1, 9636,491,234
analytics,python3-dbus, 83294,28,28
analytics,libserf-1-1, 45482,2,2
analytics,node-request, 14484,10,5
analytics,libplexus-cli-java, 9700,2,2
analytics,libgdk-pixbuf2.0-common, 10086,72,59
analytics,erlang-public-key, 502922,6,2
analytics,libguice-java, 596622,2,2
analytics,node-cookie-jar, 3746,5,5
analytics,libmono-oracle4.0-cil, 64630,3,3
analytics,libflite1, 13117828,6,5
analytics,libopencv-highgui-dev, 132080,240,30
analytics,patch, 90382,179,100
analytics,libboost-graph-parallel-dev, 2942,28,28
analytics,python-apt, 143216,4,4
analytics,libmono-sharpzip2.6-cil, 49754,3,3
analytics,apache2-utils, 82884,4,4
analytics,libidn11, 92990,440,233
analytics,libio-socket-ssl-perl, 151044,1,1
analytics,libboost-wave1.58.0, 185628,28,28
analytics,libboost-test1.58.0, 188486,28,28
analytics,fonts-gfs-solomos, 40722,1,1
analytics,libopenal1, 164340,5,5
analytics,gcc-5, 6707942,575,135
analytics,fonts-roboto, 367808,1,1
analytics,libmono-cscompmgd8.0-cil, 16020,3,3
analytics,libxss-dev, 12716,7,5
analytics,libfontenc-dev, 13806,10,5
analytics,libopts25, 57834,6,4
analytics,python-colorama-whl, 21196,3,3
analytics,libmono-system-core4.0-cil, 250096,193,4
analytics,libunwind8, 48514,30,30
analytics,libhtml-parser-perl, 90448,1,1
analytics,glib-networking-common, 10836,4,2
analytics,libboost-math1.58-dev, 740774,28,28
analytics,libattr1, 9756,1431,270
analytics,libmono-debugger-soft2.0a-cil, 56924,3,3
analytics,binfmt-support, 49512,2,2
analytics,libmono-system-web-mvc3.0-cil, 139778,3,3
analytics,java2-runtime,,5,5
analytics,libavc1394-0, 19996,5,5
analytics,sip-api-11.2,,4,4
analytics,libopencv-stitching2.4v5, 178896,30,30
analytics,x11proto-fixes-dev, 14248,154,42
analytics,libjasper-dev, 521480,31,31
analytics,zlib1g-dev, 167514,347,88
analytics,fp-units-rtl-2.6.4, 1586624,1,1
analytics,node-async, 22216,5,5
analytics,libzvbi0, 236770,93,38
analytics,python-configobj, 34184,3,3
analytics,libhdf5-cpp-10, 94162,35,34
analytics,libhwloc5, 88676,58,28
analytics,libmirclient9, 149076,9,7
analytics,libcv-dev, 4194,30,30
analytics,liblmdb0, 42114,27,27
analytics,gir1.2-pango-1.0, 20950,72,35
analytics,node-inherits, 3060,30,5
analytics,libmono-system-runtime2.0-cil, 64420,17,4
analytics,libmono-entityframework6.0-cil, 1101198,6,3
analytics,java7-runtime-headless,,6,6
analytics,libxdamage1, 6946,241,76
analytics,libbsh-java, 264220,7,7
analytics,libbluray1, 126464,44,38
analytics,netbase, 12906,7,5
analytics,libaudit-common, 4080,355,155
analytics,icu-devtools, 168136,54,50
analytics,apache2-data, 160048,4,4
analytics,libgmp-dev, 315584,15,9
analytics,libsemanage1, 71182,337,149
analytics,libfontconfig1-dev, 640896,120,43
analytics,libsnappy1v5, 15992,56,29
analytics,krb5-multidev, 113770,4,4
analytics,libghc-network-uri-dev-2.6.0.3-38d3e,,1,1
analytics,libsvn1, 946574,2,2
analytics,php5-json, 18210,4,3
analytics,libopencv-superres2.4v5, 69544,30,30
analytics,libx32ubsan0, 102088,20,7
analytics,libfontenc1, 13898,392,111
analytics,libkadm5srv-mit9, 51150,4,4
analytics,libmono-i18n-other4.0-cil, 19422,3,3
analytics,nodejs, 683742,243,6
analytics,liblucene4.10-java, 21076652,1,1
analytics,file-rc,,82,73
analytics,libwayland-egl1-mesa, 6532,6,4
analytics,libaspell15, 335258,1,1
analytics,libmono-system-runtime-caching4.0-cil, 30976,6,3
analytics,libmono-corlib2.0-cil, 728402,226,4
analytics,libmono-i18n-rare4.0-cil, 34038,3,3
analytics,lib32gcc1, 46242,63,7
analytics,qt4-linguist-tools, 848894,1,1
analytics,comerr-dev, 38458,7,4
analytics,node-node-uuid, 2530,5,5
analytics,make, 148946,256,100
analytics,libavcodec-ffmpeg56, 3944706,135,38
analytics,libcairo2-dev, 588960,72,35
analytics,cli-common, 171266,19,3
analytics,python-samba, 877066,2,1
analytics,libnet-ip-perl, 31546,1,1
analytics,libboost-iostreams-dev, 2790,28,28
analytics,libruby2.1, 3075636,11,10
analytics,libmagickcore-6.q16-2, 1567088,8,2
analytics,libogg-dev, 155730,4,2
analytics,libavahi-common-data, 21112,111,81
analytics,libmono-parallel4.0-cil, 25070,3,3
analytics,liblist-moreutils-perl, 70252,1,1
analytics,gdc-5, 6306338,1,1
analytics,libghc-cabal-dev, 3748860,1,1
analytics,libsisu-plexus-java, 181960,2,2
analytics,libhx509-5-heimdal, 107246,359,222
analytics,libopencv-ocl-dev, 518322,60,30
analytics,libnetfilter-conntrack3, 45872,1,1
analytics,python-colorama, 21398,65,65
analytics,readline-common, 51566,566,202
analytics,libdbi-perl, 772350,14,7
analytics,libavahi-client-dev, 30546,2,2
analytics,fonts-gfs-neohellenic, 215030,1,1
analytics,libmono-cairo4.0-cil, 30706,3,3
analytics,libboost-python-dev, 3176,28,28
analytics,erlang-dev, 333104,2,2
analytics,libmono-system-json-microsoft4.0-cil, 31006,3,3
analytics,libmaven3-core-java, 1440834,2,2
analytics,lib32atomic1, 8722,20,7
analytics,libboost-atomic1.58-dev, 5038,58,30
analytics,libmono-tasklets4.0-cil, 13654,3,3
analytics,libtevent0, 25110,6,1
analytics,fonts-ebgaramond-extra, 933478,1,1
analytics,libghc-fgl-dev, 331978,1,1
analytics,libnunit-framework2.6.3-cil, 44772,6,3
analytics,tmux, 219632,1,1
analytics,libboost-locale-dev, 3138,28,28
analytics,libglu1-mesa-dev, 269502,4,3
analytics,libapt-inst1.7, 58018,77,34
analytics,libmono-system-xaml4.0-cil, 82350,6,3
analytics,libmono-system-design4.0-cil, 107808,10,4
analytics,libbsd-dev, 124764,64,62
analytics,libopencv-calib3d2.4v5, 218904,213,30
analytics,libclang-common-3.6-dev, 701460,4,4
analytics,libboost-graph-parallel1.58-dev, 79126,28,28
analytics,junit4, 281186,6,4
analytics,libsynctex1, 41606,6,2
analytics,python3-urllib3, 56340,7,7
analytics,fonts-stix, 588104,1,1
analytics,openssh-client, 601118,22,9
analytics,libghc-hashable-dev, 41556,1,1
analytics,gfortran-5-multilib, 968,3,3
analytics,libkrb5-3, 274524,577,234
analytics,python3-pycurl, 35980,28,28
analytics,libqt4-qt3support, 1059822,2,1
analytics,nginx-extras, 593616,6,6
analytics,libmagic1, 211078,34,28
analytics,libksba8, 89856,1,1
analytics,libpostproc-dev, 48670,1,1
analytics,octave-common, 1284218,3,2
analytics,libcdio13, 54398,28,14
analytics,libxcb-glx0, 21650,126,73
analytics,node-gyp, 19434,5,5
analytics,tesseract-ocr-equ, 567740,1,1
analytics,libopencv-core-dev, 837438,240,30
analytics,libjbig-dev, 24758,5,5
analytics,libboost-signals1.58-dev, 34526,28,28
analytics,libbsd0, 34938,287,151
analytics,libapache-pom-java, 4022,16,8
analytics,libxcb1, 40138,1448,109
analytics,libmodplug1, 152800,44,38
analytics,libopencv-features2d-dev, 258044,150,30
analytics,libplexus-classworlds2-java, 46722,6,2
analytics,libghc-ghc-prim-dev-0.3.1.0-ec14d,,4,1
analytics,libboost-chrono1.58.0, 13176,58,30
analytics,gcc-mingw-w64-x86-64, 23725340,2,1
analytics,git, 2951026,9,9
analytics,libpciaccess0, 18106,125,75
analytics,python-pycurl, 35988,6,6
analytics,libxcb-shape0-dev, 6960,13,9
analytics,libopencore-amrwb0, 45818,45,38
analytics,ruby2.1, 73880,7,7
analytics,happy, 459076,1,1
analytics,update-inetd, 19208,1,1
analytics,libmono-peapi2.0a-cil, 43960,6,3
analytics,libharfbuzz-icu0, 5282,42,37
analytics,python3-chardet, 96162,8,8
analytics,libatk-wrapper-java-jni, 27432,30,25
analytics,libboost-test1.58-dev, 231696,84,28
analytics,libxml-commons-resolver1.1-java, 91600,9,9
analytics,libnunit-core-interfaces2.6.3-cil, 22016,12,3
analytics,libboost-mpi1.58-dev, 148002,56,28
analytics,libopus0, 156804,102,46
analytics,libopencv-imgproc2.4v5, 632410,499,34
analytics,libgtk-3-bin, 48096,2,2
analytics,libaprutil1-dev, 353606,1,1
analytics,libcdio-paranoia1, 15412,14,14
analytics,cpp-arm-linux-gnueabi, 2626,3,1
analytics,libxss1, 8582,15,10
analytics,libmpfr4, 189762,892,142
analytics,libghc-template-haskell-dev-2.9.0.0-c1976,,1,1
analytics,fonts-lobstertwo, 92738,1,1
analytics,gcc-5-cross-base, 10474,9,1
analytics,libghc-http-dev, 398878,1,1
analytics,java2-runtime-headless,,14,8
analytics,libwebp5, 164654,99,40
analytics,libpython3.5-stdlib, 2136674,9,8
analytics,libgconf-2-4, 85098,4,2
analytics,liboctave3, 6913058,4,2
analytics,libjemalloc1, 77262,7,7
analytics,erlang-ic, 815572,2,2
analytics,emacs24-bin-common, 105240,7,3
analytics,dnsmasq-base, 294570,1,1
analytics,xserver-xorg-dev, 199836,5,5
analytics,libnetty-3.9-java, 1065812,1,1
analytics,librsvg2-2, 91300,6,2
analytics,libdbd-mysql-perl, 88638,7,7
analytics,ubuntu-keyring, 16738,40,33
analytics,libqt4-help, 207156,5,5
analytics,libghc-primitive-dev, 84972,1,1
analytics,libcdt5, 23350,16,3
analytics,libstdc++-4.8-dev, 1052702,37,32
analytics,erlang-test-server, 267406,4,2
analytics,libsecret-common, 4360,1,1
analytics,libaopalliance-java, 9214,4,2
analytics,libjbig0, 26562,132,77
analytics,cpp-5-arm-linux-gnueabi, 5761218,4,1
analytics,base-passwd, 56258,2,2
analytics,libevent-2.0-5, 112550,9,9
analytics,node-tar, 17484,10,5
analytics,libopenmpi-dev, 378334,29,28
analytics,libx264-142,,9,9
analytics,libslang2, 412978,41,26
analytics,libx264-146, 603776,94,38
analytics,libodbc1, 176424,6,6
analytics,libsystemd0, 200400,256,119
analytics,libcvaux-dev, 3374,30,30
