nosql,procps, 212096,50,27,155
nosql,libp11-kit0, 107080,167,80,155
nosql,python3.5-minimal, 1555106,6,5,155
nosql,erlang-erl-docgen, 131394,7,6,155
nosql,libxfont1, 94716,46,28,155
nosql,libflac8, 210396,34,23,155
nosql,libmozjs185-1.0, 1136408,3,3,155
nosql,libapr1, 85958,9,3,155
nosql,libaprutil1-dbd-mysql, 12548,3,3,155
nosql,sphinx-common, 408062,1,1,155
nosql,libxinerama1, 7908,71,22,155
nosql,libgeronimo-osgi-support-java, 22696,1,1,155
nosql,libxext6, 29444,405,26,155
nosql,qtchooser, 22068,4,4,155
nosql,libcdi-api-java, 31906,14,6,155
nosql,libkadm5srv-mit9, 51150,4,4,155
nosql,apt, 986082,45,22,155
nosql,python-pkg-resources, 70678,63,27,155
nosql,libspeexdsp1, 39890,2,2,155
nosql,texlive-binaries, 9454732,8,1,155
nosql,libxvidcore4, 205724,4,3,155
nosql,libcups2, 196034,86,21,155
nosql,xz-utils, 78794,67,42,155
nosql,libedit2, 76648,55,42,155
nosql,libplexus-sec-dispatcher-java, 27064,14,6,155
nosql,rubygems-integration, 4866,4,4,155
nosql,libperl5.20, 664194,1,1,155
nosql,init-system-helpers, 14500,65,35,155
nosql,icu-devtools, 168136,11,10,155
nosql,libbz2-1.0, 30834,763,138,155
nosql,libldap-2.4-2, 161514,129,73,155
nosql,libjna-java, 151474,8,6,155
nosql,libxpp2-java, 162472,1,1,155
nosql,libclang1-3.6, 3698100,3,3,155
nosql,perl, 2617488,183,71,155
nosql,tzdata, 168490,50,25,155
nosql,libpixman-1-0, 237262,28,20,155
nosql,libxcb-shape0-dev, 6960,4,2,155
nosql,libgfortran3, 258498,20,6,155
nosql,libxml2, 691566,84,45,155
nosql,libxxf86dga1, 13706,20,18,155
nosql,java1-runtime-headless,,7,6,155
nosql,libjpeg8, 2194,149,29,155
nosql,libgbm1, 23474,8,4,155
nosql,emacsen-common, 17556,1,1,155
nosql,libsamplerate0, 937394,2,2,155
nosql,libsodium13, 134018,2,2,155
nosql,libavahi-common-dev, 36558,4,2,155
nosql,libpython-dev, 7836,9,9,155
nosql,x11-common, 58638,156,28,155
nosql,libepoxy0, 164522,2,2,155
nosql,file-rc,,49,36,155
nosql,libpangocairo-1.0-0, 20612,30,20,155
nosql,libgcrypt20, 335082,16,11,155
nosql,tzdata-java, 69140,29,19,155
nosql,node-tar, 17484,4,2,155
nosql,erlang-corba, 2232476,7,6,155
nosql,libapt-pkg4.16, 636794,109,27,155
nosql,libhamcrest-java, 372528,9,6,155
nosql,libghc-pretty-dev-1.1.1.1-84200,,1,1,155
nosql,intltool-debian, 24506,1,1,155
nosql,libpango-1.0-0, 151888,88,20,155
nosql,libxml-libxml-perl, 340298,1,1,155
nosql,libkdb5-8, 37316,4,4,155
nosql,libelf1, 39008,41,27,155
nosql,fonts-droid, 4108526,1,1,155
nosql,libxkbcommon-dev, 231250,8,2,155
nosql,libpcre3-dev, 520426,4,2,155
nosql,libcogl-pango20, 14088,2,2,155
nosql,fonts-crosextra-carlito, 742230,1,1,155
nosql,deltarpm, 116776,1,1,155
nosql,python-meld3, 30754,5,5,155
nosql,libghc-unix-dev-2.7.0.1-23487,,1,1,155
nosql,python-sqlitecachec, 21440,2,1,155
nosql,libstemmer0d, 62146,2,2,155
nosql,libmockobjects-java, 52440,2,2,155
nosql,libc-ares-dev, 108548,2,2,155
nosql,node-graceful-fs, 7102,6,2,155
nosql,libtasn1-6, 42700,165,80,155
nosql,libltdl7, 35306,46,13,155
nosql,x11proto-xf86vidmode-dev, 6116,4,2,155
nosql,python3-colorama, 14078,4,4,155
nosql,libvo-amrwbenc0, 66440,1,1,155
nosql,libx32quadmath0, 134164,4,1,155
nosql,libgl1-mesa-glx, 145574,61,26,155
nosql,python2.7:any, 209794,11,6,155
nosql,liblockfile-bin, 10838,1,1,155
nosql,xauth, 22742,1,1,155
nosql,libwind0-heimdal, 47740,246,73,155
nosql,libeclipse-aether-java, 563692,7,6,155
nosql,libcommons-cli-java, 53712,32,6,155
nosql,libqt4-svg, 138708,4,4,155
nosql,logrotate, 37642,1,1,155
nosql,libplexus-archiver-java, 170696,7,6,155
nosql,node-github-url-from-git, 3138,4,2,155
nosql,base-files, 59750,49,31,155
nosql,gsettings-desktop-schemas, 25778,2,2,155
nosql,libdpkg-perl, 194354,82,45,155
nosql,liborc-0.4-0, 140776,11,9,155
nosql,libselinux-dev,,1,1,155
nosql,liblapack3, 1843850,9,6,155
nosql,nginx-full, 422326,1,1,155
nosql,gcc, 5204,103,31,155
nosql,libc6-x32, 2456526,20,1,155
nosql,libsigsegv2, 14062,10,6,155
nosql,libtinfo5, 76136,791,110,155
nosql,libheimbase1-heimdal, 29318,246,73,155
nosql,gs-cjk-resource,,4,1,155
nosql,libxcb-xfixes0-dev, 11240,4,2,155
nosql,libgstreamer1.0-0, 729052,14,6,155
nosql,libxml2-utils, 35862,1,1,155
nosql,libaudit1, 35216,694,103,155
nosql,ivy, 1098936,4,2,155
nosql,ca-certificates-java, 12292,40,19,155
nosql,nginx-light, 299082,1,1,155
nosql,libaprutil1-dbd-pgsql, 12478,3,3,155
nosql,libxxf86vm-dev, 13302,12,2,155
nosql,libgtk2.0-common, 122530,21,19,155
nosql,libvorbis0a, 87270,42,24,155
nosql,libnettle6, 93326,566,79,155
nosql,node-qs, 7574,2,2,155
nosql,libasound2-data, 28422,28,23,155
nosql,libtbb2, 111616,4,2,155
nosql,libswscale3,,4,2,155
nosql,insserv, 38182,49,36,155
nosql,libdrm-amdgpu1, 15504,37,26,155
nosql,libqt4-test, 61672,4,4,155
nosql,libjsch-java, 267030,22,6,155
nosql,libdebian-installer4, 22044,10,10,155
nosql,libpotrace0, 17778,4,1,155
